Abbott, BP
 Vink, J
 Drout, MR
 Frebel, A
 Frohlich, C
 Banerjee, P
 Sayar, W
 Weinberg, DH
 Ofek, EO
 Soker, N
 Skuladottir, A
 Coughlin, MW
 Matteucci, F
 Janka, HT
 Ramirez-Ruiz, E
 Langanke, K
 Barnes, J
 Mashonkina, LI
 Metzger, BD
 Eichler, M
 Tauris, TM
 Kobayashi, C
 Ji, AP
 Simon, JD
 Tchekhovskoy, A
 Ebinger, K
 Sprouse, TM
 Bryan, GL
 MacFadyen, A
 Kawano, T
 Bastian, NUF
 Neijssel, CJ
 Placco, VM
 Sukova, P
 Pan, KC
 Hattori, K
 Ishimaru, Y
 Beniamini, P
 Roberts, LF
 Gay, DW
 Wollaeger, RT
 Busso, M
 Sollerman, J
 Cowperthwaite, S
 Chieffi, A
 Shigeyama, T
 Kiuchi, K
 Levan, AJ
 Kotake, K
 Mosta, P
 Holmbeck, EM
 Liebendorfer, M
 Johnston, KV
 Rauscher, T
 Vartanyan, D
 Most, ER
 Kasen, D
 Muller, B
 Guillochon, J
 Utsumi, Y
 Just, O
 Christlieb, N
 Fernandez, R
 Stergioulas, N
 Berger, E
 Holz, DE
 Nagakura, H
 Bauswein, A
 Sekiguchi, Y
 Sari, R
 Norris, JE
 Belczynski, K
 Sawai, H
 Lippuner, J
 Travaglio, C
 Herwig, F
 Beloborodov, AM
 Huang, Y
 Ropke, FK
 Galeazzi, F
 Kyutoku, K
 Wanajo, S
 Vanbeveren, D
 Karakas, AI
 Ertl, T
 Hirschi, R
 Bensby, T
 Ritter, C
 Obergaulinger, M
 Kajino, T
 Freire, P
 Goriely, S
 Li, X
 Takiwaki, T
 Zrake, J
 Tamborra, I
 Aoki, W
 Arcones, A
 Cooke, RJ
 Romano, D
 Gallino, R
 Piran, T
 Trenti, M
 Kazeroni, R
 Quataert, E
 Chiappini, C
 Rosswog, S
 Tominaga, N
 Farouqi, K
 Timmes, FX
 Schatz, H
 Lattanzio, JC
 Ott, CD
 Preston, GW
 Richers, S
 Ciolfi, R
 Korobkin, O
 Feltzing, S
 Mannucci, F
 Cohen, JG
 Badnell, NR
 Lattimer, JM
 MacFadyen, AI
 Spite, M
 Beers, TC
 Primas, F
 Lawler, JE
 Kappeli, R
 Famiano, MA
 Sagert, I
 Montes, F
 Cowan, JJ
 Martinez-Pinedo, G
 Whitehouse, SC
 Bildsten, L
 Dominik, M
 Sneden, C
 Korneev, IY
 Kratz, KL
 Tanaka, M
 Caffau, E
 Rezzolla, L
 Wiesendahl, U
 Piro, AL
 Calura, F
 Nomoto, K
 Grevesse, N
 Katsuta, Y
 Nishimura, N
 McLaughlin, GC
 Depagne, E
 Parete-Koon, ST
 Panov, IV
 Takahashi, R
 Hashimoto, M
 Umeda, H
 Simmerer, J
 Hoffman, RD
 Lambert, DL
 Hauser, P
 Dimmelmeier, H
 Den Hartog, EA
 Rampp, M
 Hashimoto, MA
 Thielemann, FK
 Uryu, K
 Samland, M
 Pfeiffer, B
 Shapiro, SL
 Dvorkin, I
 Pillepich, A
 Leung, SC
 Silvia, DW
 Dooley, GA
 Springel, V
 Zhang, FW
 Schlaufman, KC
 Matsuno, T
 Bovy, J
 Cote, B
 Scannapieco, E
 Hix, WR
 Saitoh, TR
 Ostriker, JP
 Peeples, MS
 Lugaro, M
 Pilkington, K
 Mateo, M
 Gerhard, O
 Casey, AR
 Straniero, O
 Drlica-Wagner, A
 Ludwig, HG
 Ishigaki, MN
 Belokurov, V
 Perera, BBP
 Bellazzini, M
 Dave, R
 Crain, RA
 Tumlinson, J
 Pulpillo, RA
 Ruchti, GR
 Hill, V
 Werk, JK
 Marino, AF
 Zhang, B
 Fong, W
 Starkenburg, E
 Suda, T
 Bromm, V
 Few, CG
 Turk, MJ
 Ricotti, M
 Trujillo-Gomez, S
 Giacomazzo, B
 Nakasato, N
 Cerda-Duran, P
 Asplund, M
 Bolte, M
 Honda, S
 Wahlgren, GM
 Gibson, BK
 Francois, P
 Hillebrandt, W
 Limongi, M
 Freese, K
 Serenelli, AM
 He, JJ
 Chen, Y
 Amthor, AM
 Linden, T
 Farmer, R
 Iliadis, C
 Hempel, M
 Chiosi, C
 Abia, C
 Marinho, RM
 Woodward, PR
 Andersen, AC
 Garcia-Hernandez, DA
 Genel, S
 Justham, S
 Henriques, B
 Mukhopadhyay, B
 Campbell, SW
 Fuqua, J
 Xu, HS
 Rueda, JA
 Robertson, RGH
 Jeffery, CS
 Di Stefano, R
 Haxton, WC
 Sunyaev, RA
 Champagne, A
 Iwamoto, N
 Lang, MG
 Diehl, R
 Bonifacio, P
 Heger, A
 Mussack, K
 Knodlseder, J
 Dan, M
 Manchado, A
 Arnett, D
 Meng, X
 Dunkley, J
 Shi, JR
 Jose, J
 Steffan, M
 Harris, MJ
 Taam, RE
 Zhang, WJ
 Garcia-Lario, P
 Gorres, J
 Pinsonneault, MH
 Ekstrom, S
 Watson, LS
 Kim, C
 Vangioni-Flam, E
 Larson, RB
 Nonaka, A
 Kilic, M
 Cabezon, RM
 Corsico, AH
 Isern, J
 Nittler, LR
 Zinner, E
 Moreno, F
 Giuliani, A
 Paxton, B
 Basu, S
 Jackson, AP
 Hinkle, KH
 Garcia-Senz, D
 Di Mauro, MP
 Cristallo, S
 Bisterzo, S
 Zych, BJ
 Suleimanov, V
 Rubin, D
 Alexander, CMO
 Brown, EF
 Gail, HP
 Paerels, F
 Cumming, A
 Miller, JM
 Miller, JM
 Cole, S
 Calder, AC
 Fukugita, M
 Luridiana, V
 Chen, XF
 Livne, E
 Geballe, TR
 Shen, KJ
 Loren-Aguilar, P
 Niemeyer, JC
 Vauclair, S
 Molaro, P
 Ecklund, TC
 Leibundgut, B
 Morsink, S
 Bloom, JS
 Hoppe, P
 Khokhlov, AM
 Prialnik, D
 Bravo, E
 Haberl, F
 Guerrero, J
 Cornelisse, R
 Antia, HM
 Nelemans, G
 Surman, R
 Garcia-Berro, E
 Terasawa, M
 Tylenda, R
 Murray, N
 Melendez, J
 Traven, G
 Veres, P
 Ferrigno, C
 Hidaka, J
 Sauer, DN
 Mogensen, TF
 Siegert, T
 Sim, SA
 Sullivan, M
 Ryabtsev, A
 Fischer, T
 Ito, H
 Pehlivan, Y
 Hilaire, S
 Komissarov, SS
 Dessart, L
 Hardee, P
 McKinney, JC
 Turner, G
 Narayan, R
 Burrows, A
 Krolik, JH
 Breitschwerdt, D
 Muller, E
 Chatzopoulos, E
 Kawasaki, M
 Aghanim, N
 Keek, L
 Sparta, R
 Pettini, M
 Ajello, M
 Ciaraldi-Schoolmann, F
 Mazzocchi, C
 Petitjean, P
 Smith, KM
 Thuan, TX
 Abdou, Y
 Piersanti, L
 Burles, S
 Otsuki, K
 Shizuma, T
 Hobbs, GB
 Zamora, O
 Magrini, L
 Buczak, K
 The, LS
 Chau, LP
 El Eid, MF
 Agvaanluvsan, U
 Temma, Y
 Kremer, K
 Evoli, C
 Zha, S
 Marka, S
 Hogarth, LM
 Merz, G
 Furusawa, S
 Addison, GE
 Meakin, C
 Chamel, N
 de Laverny, P
 Qian, YZ
 Alecian, G
 Lave, KA
 Coc, A
 Casertano, S
 Bachiller, R
 Federman, SR
 Yoshida, T
 Denissenkov, P
 Mathews, GJ
 Siess, L
 Gil-Pons, P
 Indebetouw, R
 Pennucci, TT
 Prieto, CA
 Toki, H
 Ciesla, F
 Melot, F
 Chaussidon, M
 Gehrz, RD
 Thompson, A
 Krot, AN
 Tatischeff, V
 Thibaud, JP
 Freytag, B
 Arnould, M
 Bidelman, WP
 Eberl, T
 Zane, S
 Rea, N
 Mapelli, M
 Jani, K
 Haiman, Z
 De Mink, SE
 Hannuksela, OA
 Abbott, TD
 Loeb, A
 Ford, KES
 Klencki, J
 Wysocki, D
 Strader, J
 Farmer, RJ
 Farr, WM
 Spera, M
 Renzo, M
 Lasky, PD
 He, C
 Sampson, M
 Ma, LH
 Giacobbo, N
 Bartos, I
 Richer, H
 Hubner, M
 Haris, K
 Gieles, M
 Samsing, J
 Famaey, B
 Civano, F
 Stone, NC
 Kocsis, B
 Mao, SD
 Naoz, S
 Thrane, E
 Jauzac, M
 Askar, A
 Toonen, S
 Stappers, BW
 Garcia-Bellido, J
 Reines, AE
 Tremaine, S
 Feng, H
 Zevin, M
 Rasio, FA
 Barausse, E
 Mac Low, MM
 Chatterjee, S
 Leigh, N
 Liu, JF
 Seth, AC
 Roberts, TP
 Webb, NA
 Le Bouquin, JB
 Woosley, S
 Shappee, BJ
 Greene, JE
 Mucciarelli, A
 Kissler-Patig, M
 Marigo, P
 Perets, HB
 Ho, LC
 Wrobel, JM
 Marvil, J
 Chomiuk, L
 Hakala, PJ
 Farrell, SA
 Soria, R
 Tout, CA
 Cappellari, M
 van der Marel, RP
 Anderson, J
 Barret, D
 Gueltekin, K
 Gebhardt, K
 Lousto, C
 Natarajan, P
 Larson, SL
 Volonteri, M
 Miller, MC
 Rich, RM
 Hughes, SA
 Milosavljevic, M
 Colbert, EJM
 Mandel, I
 Chirenti, C
 Ahumada, T
 van Eerten, H
 Yang, YY
 Paterson, K
 Cowperthwaite, PS
 Bovard, L
 McLaughlin, M
 Stanway, ER
 Kumar, B
 Eldridge, JJ
 Sipocz, BM
 Silva, HO
 Champion, DJ
 Freire, PCC
 Kramer, M
 Berry, CPL
 Shenar, T
 Langer, N
 Turnbull, SJ
 Bozzo, E
 Zimmerman, A
 Tollerud, EJ
 Arras, P
 Bailyn, CD
 Cariou, R
 Sravan, N
 Psaltis, D
 Wolszczan, A
 Cameron, PB
 Kollmeier, JA
 Andreoni, I
 Nynka, M
 Ackley, K
 Schulze, S
 Gorbovskoy, E
 Lyman, JD
 Hiramatsu, D
 Kilpatrick, CD
 Sand, DJ
 Graur, O
 Yokoyama, T
 Fields, BD
 Lang, RN
 Stairs, IH
 Kirby, EN
 Dickinson, M
 Bower, GC
 Pretorius, F
 Chornock, R
 Willems, B
 Podsiadlowski, P
 Glover, SCO
 Stella, L
 Morokuma, T
 Kato, M
 Kalogera, V
 Thorsett, SE
 Gal-Yam, A
 Hjorth, J
 Lai, D
 Dewi, JDM
 Nagataki, S
 Dewey, RJ
 Irwin, M
 Collet, R
 Ruiter, AJ
 Sutherland, RS
 Fontanot, F
 Courtois, H
 Scannapieco, C
 Yates, RM
 De Lucia, G
 Repetto, S
 Botticella, MT
 Vogelsberger, M
 Keller, S
 Faucher-Giguere, CA
 Bianco, FB
 Harris, WE
 Fall, SM
 Cinabro, D
 Riess, AG
 Ihara, Y
 Rodney, SA
 Graves, GJ
 Falle, SAEG
 Maoz, D
 Friel, ED
 Strolger, LG
 Dahlen, T
 Chiba, M
 Santos, NC
 Thomas, D
 Cox, TJ
 Aldering, G
 Callegari, S
 Poznanski, D
 Tonry, JL
 Maraston, C
 Smith, M
 Schaye, J
 Lidz, A
 Palanque-Delabrouille, N
 Faber, SM
 Schiavon, RP
 Riello, M
 Fabjan, D
 Weiner, BJ
 Perna, R
 Afonso, C
 Spitaleri, C
 Pizzone, RG
 La Cognata, M
 Lebzelter, T
 Palmerini, S
 Carretta, E
 Ghisellini, G
 Kashiyama, K
 Murase, K
 Maeda, K
 Meszaros, P
 Sakamoto, T
 Ioka, K
 Yonetoku, D
 Bostanci, ZF
 Ding, X
 Stone, JM
 Chincarini, G
 Barthelmy, SD
 Suwa, Y
 Toma, K
 Zhang, WQ
 Mao, J
 Beardmore, AP
 Begelman, MC
 Ghirlanda, G
 Xu, D
 Li, Z
 Kobayashi, S
 Mori, M
 Wiersema, K
 Albert, A
 Bhattacharya, D
 Shannon, RM
 Nissanke, S
 Cannizzo, JK
 Diehl, HT
 Briggs, MS
 Goldstein, A
 Baliber, N
 Wise, MW
 Craig, WW
 Kasliwal, M
 Guillemot, L
 Case, GL
 Neronov, A
 Abbott, BP
 Burgess, JM
 Meegan, CA
 Ferris, RH
 Finkbeiner, DP
 Leaman, J
 Thone, CC
 Kornilov, V
 Lichti, G
 Barbiellini, G
 Malesani, D
 King, AR
 Fox, DB
 Cenko, SB
 Bailes, M
 Grupe, D
 Hill, JE
 Deich, A
 Pozanenko, AS
 Margutti, R
 Macri, LM
 Burns, E
 Connaughton, V
 Evans, H
 Tervala, JG
 Kumar, P
 Siellez, K
 Siegel, DM
 Kaspi, VM
 Howell, EJ
 Bersier, D
 Kruhler, T
 Mewes, M
 Butler, N
 Granot, J
 Stanek, KZ
 Bonnell, JT
 Prochaska, JX
 Hivon, E
 Tagliaferri, G
 Stovall, K
 Fambri, F
 Paschalidis, V
 Ruiz, M
 Rosen, R
 Kasian, L
 Montes, G
 Kottas, A
 Ohsuga, K
 Wex, N
 Yamada, S
 Dumbser, M
 Inoue, T
 Giannios, D
 Bulik, T
 Ferrari, V
 Hurley, JR
 Hesse, M
 Beckner, VE
 Xu, H
 Anninos, P
 Lehner, L
 Gardiner, TA
 Zanotti, O
 Price, D
 Tohline, JE
 Kifonidis, K
 Fan, YZ
 Fragile, PC
 Braby, M
 Gondek-Rosinska, D
 Andersson, N
 Apostolatos, TA
 Lorimer, DR
 Accardo, M
 Webb, JK
 Sanchez, AG
 de Bruijne, JHJ
 Palle, PL
 Fienga, A
 Larson, D
 Pitjev, NP
 Carilli, C
 Boyles, J
 Langston, GI
 Le Poncin-Lafitte, C
 Adelberger, EG
 Asmar, SW
 Muller, J
 Nice, DJ
 van Casteren, J
 Salomon, C
 Kopeikin, S
 Turyshev, SG
 Eisenhauer, F
 Wagoner, RV
 Jenet, FA
 Verbiest, JPW
 McClintock, JE
 Chitre, SM
 Alexander, T
 Faulkner, AJ
 Abdelatif, T
 Reimers, D
 Abdalla, FB
 Lemos, P
 Ratra, B
 Blake, C
 Shirasaki, M
 Kunz, M
 Xu, LX
 Mead, A
 Zhu, HY
 Miyatake, H
 Viola, M
 Kumar, S
 Madiyar, FR
 Camera, S
 Choi, A
 Amon, A
 Ade, PAR
 Arnaud, M
 Raveri, M
 Alam, S
 Hikage, C
 Joudaki, S
 Eifler, T
 Hamana, T
 Schmidt, F
 Krause, E
 Brown, ML
 Sherwin, BD
 Hoover, S
 Samushia, L
 Tsujikawa, S
 Scolnic, D
 Akiba, Y
 Kessler, R
 Aubourg, E
 Saito, S
 Reid, BA
 Vikram, V
 Baldi, M
 Guzzo, L
 Grocutt, E
 Van Waerbeke, L
 Marriner, J
 Fu, L
 Heymans, C
 Schlegel, DJ
 Xu, XY
 Ishak, M
 Crittenden, R
 Madore, BF
 Wang, Y
 Keisler, R
 Baugh, CM
 Brough, S
 Percival, WJ
 Bean, R
 Lewis, GF
 Sanders, RH
 Kashi, A
 Crawford, TM
 Kazin, EA
 Davis, T
 Szapudi, I
 Macri, L
 Jing, YP
 Guy, J
 Eisenhardt, PRM
 Percival, W
 Hartlap, J
 Deffayet, C
 Schneider, P
 Cabre, A
 Akhoury, R
 White, M
 Evans, NW
 Li, C
 Neyrinck, MC
 Agueros, MA
 Gladders, MD
 Mandelbaum, R
 Menou, K
 Sami, M
 Mukherjee, P
 Hirata, CM
 Seljak, U
 Martinez-Gonzalez, E
 Zehavi, I
 Valls-Gabaud, D
 Wright, EL
 Howard, B
 Fantoni, R
 Gordon, C
 Bulbul, E
 Le Delliou, M
 Akamatsu, H
 Anderson, B
 Dobrodey, S
 Boyarsky, A
 Profumo, S
 Kaastra, J
 Barbarino, GC
 Werner, N
 Cuoco, A
 Rott, C
 Gluscevic, V
 Kilbinger, M
 Markevitch, M
 Mena, O
 Bullock, JS
 Eke, V
 Agnetta, G
 Stawarz, L
 Pfrommer, C
 Martinez, GD
 Ludlow, A
 Hektor, A
 Abdo, AA
 Le Guillou, L
 Akhperjanian, AG
 Bradac, M
 Laskar, J
 Gold, R
 Duez, MD
 Martin, D
 Feindt, U
 Kastaun, W
 Liebling, SL
 Diwisch, M
 Deaton, MB
 Wu, X
 Brady, P
 Laveder, M
 Farinon, F
 Kneller, JP
 Fechner, M
 Delaroche, JP
 Mocelj, D
 Taniguchi, K
 Kolbe, E
 Liang, HZ
 Roy, P
 Ujevic, M
 Xu, X
 Desai, D
 Haas, R
 Andreyev, AN
 Baiotti, L
 Niu, YF
 Raffelt, GG
 Hinderer, T
 Frederico, T
 Foucart, F
 Fantina, AF
 Meisel, Z
 Uzan, JP
 Chen, SZ
 Pena-Garay, C
 Olive, KA
 Ulmer, A
 Benziger, J
 Hampel, W
 Doser, M
 Nunes, NJ
 Baumgarte, TW
 Imbriani, G
 NAKAMURA, T
 CENTRELLA, JM
 Grawe, H
 Walker, PM
 Zhang, GX
 Podolyak, Z
 Bruce, AM
 Jungclaus, A
 Morales, AI
 Jurado, B
 Balantekin, AB
 Farrelly, GF
 Savajols, H
 von Neumann-Cosel, P
 Kusakabe, M
 Ellis, J
 Dolgov, A
 Canton, L
 Roth, R
 Brune, CR
 Flambaum, VV
 Shin, JW
 Kumar, D
 Heil, M
 Bemmerer, D
 Fulop, Z
 Varlamov, V
 Krivosheina, IV
 Motobayashi, T
 Wiedeking, M
 Baldo, M
 Gaggero, D
 Niu, ZM
 Hussein, MS
 Paul, M
 Abreu, P
 Seckel, D
 Amanbayev, D
 Akkus, B
 Li, KA
 Aumann, T
 Schmidt, S
 Plass, WR
 Liu, M
 Bosch, F
 Simon, MC
 Ohtsubo, T
 Knobel, R
 Hausmann, M
 Marronetti, P
 Forteza, XJ
 Cotesta, R
 Hemberger, D
 Berti, E
 Del Pozzo, W
 Amaro-Seoane, P
 Hindmarsh, M
 Yagi, K
 Lange, J
 Wong, KWK
 Ajith, P
 Klein, A
 Keitel, D
 Shao, LJ
 Lousto, CO
 Taracchini, A
 Healy, J
 Kuhnel, F
 Kesden, M
 Kela, A
 Vedovato, G
 Khan, S
 Husa, S
 Price, LR
 Buonanno, A
 Littenberg, TB
 Abadie, J
 Raymond, V
 Ohme, F
 Agathos, M
 Baker, JG
 Hannam, M
 Abernathy, M
 Arun, KG
 Nakano, H
 Cardoso, V
 Faye, G
 Kidder, LE
 Cook, GB
 Iyer, BR
 Campanelli, M
 Gras, S
 Purrer, M
 Landry, P
 Massinger, T
 Sengupta, AS
 Bernuzzi, S
 Pannarale, F
 Adams, T
 Wade, LE
 Dal Canton, T
 Haster, CJ
 Wade, M
 Clark, JA
 Betzwieser, J
 Kanner, JB
 Friedman, JL
 Blackburn, K
 Vitale, S
 Nitz, AH
 Buskulic, D
 Yunes, N
 Wade, L
 Schofield, RMS
 Mohapatra, SRP
 Marsat, S
 Biswas, R
 Chung, SK
 Anderson, WG
 Nagar, A
 Hooper, S
 Flanagan, EE
 Allen, B
 Vasuth, M
 WILL, CM
 FLANAGAN, EE
 DHURANDHAR, SV
 Kaplan, J
 Benzoni, G
 Lane, GJ
 Yamaguchi, K
 Becerril, A
 Sumikama, T
 Grzywacz, R
 Cardella, G
 Altstadt, S
 Adamova, D
 Agnello, M
 Gialanella, L
 Di Leva, A
 Wu, PZ
 Braun-Munzinger, P
 Jin, GM
 Takami, K
 Levin, J
 Daw, EJ
 TAYLOR, JH
 Hees, A
 Bailey, QG
 Desai, S
 Tasson, JD
 Biwer, C
 Sutton, PJ
 Fairhurst, S
 Kostelecky, VA
 Nayyar, M
 De Pietri, R
 Feo, A
 Choptuik, MW
 East, WE
 Moldenhauer, N
 Kokkotas, KD
 Palenzuela, C
 Nolan, P
 Damour, T
 Nouri, FH
 Markakis, CM
 Creighton, JDE
 Mundim, BC
 Alic, D
 Endeve, E
 Will, CM
 McWilliams, ST
 Ramazanoglu, FM
 Ponce, M
 Pfeiffer, HP
 Gualtieri, L
 Hilditch, D
 Faber, J
 Thierfelder, M
 Tsokaros, A
 Scheel, MA
 Bona-Casas, C
 Liu, YT
 Lackey, BD
 Oechslin, R
 Ishihara, H
 Hawke, I
 Limousin, F
 Poisson, E
 Markakis, C
 Boyle, M
 Okawa, H
 Deser, S
 Li, TK
 Gonzalez, JA
 Brown, DA
 Reisswig, C
 Babak, S
 Hewitson, M
 Hirschmann, EW
 Gressman, P
 IBANEZ, JM
 Iess, L
 Clifton, T
 Sotiriou, TP
 Blanchet, L
 Bietenholz, MF
 Muhlfelder, B
 Tortora, P
 Folkner, WM
 Peron, R
 Sturani, R
 Caballero, RN
 Mohideen, U
 Stein, LC
 Ferreira, PG
 Everitt, F
 Sacquin, Y
 Patla, BR
 Schlamminger, S
 Amsler, C
 Aoudia, S
 Baker, T
 Siemens, X
 Zhao, GB
 Chen, YB
 Burgess, CP
 Klimchitskaya, GL
 Gair, JR
 Linder, EV
 Taruya, A
 Langlois, D
 Taveras, V
 Hu, W
 Cao, Z
 Sotani, H
 Schreck, M
 Smullin, SJ
 Risse, M
 Miyamoto, U
 Jacobson, T
 Schiappa, R
 Bender, PL
 Rappaport, S
 Rothstein, IZ
 Schutz, BF
 Giannotti, M
 Barrow, JD
 Kapner, DJ
 Mattingly, D
 Pospelov, M
 Wiseman, AG
 EspositoFarese, G
 Newhall, XX
 DAMOUR, T
 NOVERO, C
 HECKEL, BR
 NORDTVEDT, K
 CHERNOFF, DF
 ESPOSITOFARESE, G
 Holscher, P
 Clampitt, J
 Brax, P
 Perivolaropoulo, L
 Lewandowski, M
 Amendola, L
 Bolis, N
 Bellini, E
 Dirian, Y
 Khyllep, W
 Nesseris, S
 Saravani, M
 Barreira, A
 Lombriser, L
 Bull, P
 Zumalacarregui, M
 Martinelli, M
 Pace, F
 Koyama, K
 Pantazis, G
 Davis, AC
 Heisenberg, L
 Skordis, C
 Kase, R
 Hiramatsu, T
 Mancarella, M
 Ezquiaga, JM
 Cid, AF
 Babichev, E
 Kenna-Allison, M
 Mukhanov, V
 Mukohyama, S
 Fukushima, M
 Mota, DF
 Lima, NA
 Naruko, A
 Marinoni, C
 Silvestri, A
 Sakstein, J
 Peter, P
 Verde, L
 Noui, K
 Wilcox, H
 Foffa, S
 Sengor, G
 Poplawski, NJ
 Durrer, R
 Hull, M
 Taylor, A
 Bolliet, B
 Cuesta, AJ
 Valageas, P
 Bailey, S
 Wang, B
 Hassan, SF
 Ballardini, M
 Yamauchi, D
 Vikman, A
 Dunsby, PKS
 Blanchard, A
 Akrami, Y
 Ueno, K
 Kirkby, D
 Baccigalupi, C
 Li, BJ
 Ballesteros, G
 Nakamura, T
 Hu, B
 Farooq, O
 Li, B
 Sawicki, I
 Nesti, F
 Patil, A
 Chen, BH
 Zhao, W
 Niz, G
 Liguori, M
 Calabrese, E
 Hilton, M
 Pogosian, L
 Totani, T
 Arnau, E
 Piazza, F
 Dodelson, S
 Saltas, ID
 Hinterbichler, K
 Padilla, A
 Riemer-Sorensen, S
 Tolley, AJ
 De Felice, A
 Wang, AZ
 Sepangi, HR
 Brandenberger, R
 Yamamoto, K
 Kobayashi, T
 Wu, Q
 Ostorero, L
 Gao, X
 Lesgourgues, J
 van de Bruck, C
 Nojiri, S
 Gawiser, E
 Chen, XL
 Qiang, LE
 Pujolas, O
 Huterer, D
 Khoury, J
 Gabadadze, G
 Sierra, NF
 Kazanas, D
 Zlosnik, TG
 Giannantonio, T
 Tangmatitham, M
 Li, CS
 Koh, S
 Casadio, R
 Urakawa, Y
 Smith, RE
 Wands, D
 Peacock, JA
 Flauger, R
 Maartens, R
 Kofinas, G
 Scoccimarro, R
 Wyman, M
 Nakayama, K
 Comelli, D
 Dossett, J
 Yu, HW
 Esposito-Farese, G
 Sahni, V
 Mashhoon, B
 Gomberoff, A
 Rattazzi, R
 Moldenhauer, J
 Wang, S
 Gracey, JA
 Hirata, C
 Ho, S
 Odintsov, SD
 Zukin, P
 Scranton, R
 Slosar, A
 Gannouji, R
 Elizalde, E
 Hofmann, S
 Cahn, RN
 Battye, RA
 Gregory, R
 Cooray, A
 Chung, DJH
 Maity, D
 Bernat, D
 Eisenstein, DJ
 Goobar, A
 Majerotto, E
 Cai, RG
 Ichiki, K
 Van Acoleyen, K
 Dudal, D
 Tinyakov, PG
 Schuller, FP
 Solganik, S
 Lim, EA
 Wang, P
 Cline, JM
 Duvvuri, V
 Shifman, M
 Weltman, A
 Ovrut, BA
 Rios, A
 Gamberg, L
 Andres, C
 Fan, ZY
 Tsang, CY
 Tsang, MB
 Kanwar, G
 Bedaque, PF
 Trewartha, D
 Aalbers, J
 Trojanowski, S
 Olechowski, M
 Hikasa, K
 Murgia, S
 Heinke, C
 Archer, A
 Barger, V
 Malyshev, D
 Waxman, E
 Kaplinghat, M
 Huh, JH
 Mukhopadhyay, S
 Tamvakis, K
 Aad, G
 Hiraide, K
 Sessolo, EM
 Eiteneuer, B
 Shen, ZQ
 Lamperstorfer, AS
 Sirunyan, AM
 Calore, F
 Abraham, K
 Ardid, M
 Gaskins, JM
 Liang, YF
 Scaffidi, A
 Park, EK
 Lasenby, R
 Cai, Y
 Boudaud, M
 Amoroso, S
 Gelmini, GB
 Klos, P
 Sandick, P
 Hooper, D
 Fornasa, M
 Bi, XJ
 von Harling, B
 Batell, B
 Anderson, AJ
 Cholis, I
 Herrmann, B
 Solon, MP
 Abbott, B
 Feld, D
 Aharonian, F
 Grothaus, P
 Han, XF
 Vollmann, M
 Shelton, J
 Papucci, M
 Li, T
 De Simone, A
 Park, WI
 Baehm, C
 DiFranzo, A
 McCabe, C
 Seto, O
 Dolan, MJ
 Canac, N
 Roszkowski, L
 Wagner, CEM
 Jeong, KS
 Kong, K
 Redondo, J
 Coogan, A
 Hoferichter, M
 Cirelli, M
 Figueroa-Feliciano, E
 Al Samarai, I
 Macias, O
 Menendez, J
 Lisanti, M
 Sanchez-Conde, MA
 Maccione, L
 Demidov, SV
 Becker, GD
 Barbeau, PS
 Bertone, G
 Kusenko, A
 Salucci, P
 Kelso, C
 Barnacka, A
 Haxton, W
 Drees, M
 Dutta, B
 Belikov, AV
 Nath, P
 Kazana, M
 Schwarz, DJ
 Belanger, G
 Boulay, MG
 Garny, M
 Vecchi, L
 Dasgupta, B
 Huang, X
 Tseng, PY
 Heng, ZX
 Harnik, R
 Alvarez, EA
 Lessa, A
 Shepherd, W
 Pato, M
 Goodenough, L
 Corcella, G
 Ibe, M
 Kakizaki, M
 Reece, M
 Ullio, P
 Ackermann, M
 Niro, V
 Iocco, F
 Liu, ZW
 Kehayias, J
 Jeltema, TE
 Zurek, KM
 Tytgat, MHG
 Ando, S
 Takahashi, F
 Goudelis, A
 Bringmann, T
 Shan, CL
 Su, S
 Boudjema, F
 Dermisek, R
 Galper, AM
 Strumia, A
 Matsumot, S
 Steffen, FD
 Mustafayev, A
 Provenza, A
 Gondolo, P
 Matsumoto, S
 Hall, LJ
 Komatsu, E
 Kohri, K
 Meade, P
 Yaguna, CE
 Wacker, JG
 Thunman, M
 Stewart, ED
 KOLDA, C
 NOJIRI, MM
 SECKEL, D
 Quinn, F
 Lavonen, J
 Forster, C
 Summers, R
 van der Veen, JT
 van der Molen, JHW
 Hasni, A
 Emanuelsson, P
 Wu, IC
 Dennick, R
 Aldridge, JM
 Berlin, D
 Subramaniam, R
 Lichtenstein, MJ
 Lingard, B
 Lefstein, A
 Tsai, CC
 Goh, AYS
 Tan, AL
 Chang, WH
 Lee, MH
 Deng, F
 Fleer, M
 Hong, ZR
 Wong, SL
 Lin, HS
 Osborne, J
 Hodson, D
 Abd-El-Khalick, F
 Oliver, JS
 Johanson, RE
 Kuo, PC
 Cheng, WY
 Liu, SY
 Chin, CC
 Chiu, HL
 Rawolle, S
 Lawn, M
 Airey, J
 Knaub, AV
 Chasteen, SV
 McCormack, O
 Borowski, A
 Sawtelle, V
 Danielsson, A
 Gitomer, D
 Gregorcic, B
 Zhang, P
 Egersdorfer, D
 Johansson, A
 Roberts, L
 Araujo, I
 Dillon, J
 Hora, MT
 Potvin, G
 Di Paola, B
 Christensen, WM
 Jessen, K
 Thames, MH
 Koehler, MJ
 Hassan, AS
 El-Badry, AM
 Allam, SH
 Al-Assam, S
 Stock, S
